noche,aemet_min,aemet_max,aemet_cielo,t_anochecer,rocio_anochecer,viento_anochecer,humedad_anochecer,presion_anochecer,base_rocio,base_media,noche_despejada,min_real,error_aemet,error_rocio,error_media
2026-08-20,14,25,Nuboso con lluvia escasa,16,15,0,94,1005.22,15,15.5,1,15,1.0,0.0,-0.5
2026-08-21,12,29,Intervalos nubosos,21,12,0,54,1007.62,12,16.5,1,12,0.0,0.0,-4.5
2026-08-22,14,29,Despejado,23,12,0,51,1006.94,12,17.5,1,15,1.0,3.0,-2.5
2026-08-23,15,25,Intervalos nubosos con lluvia,23,10,0,43,1006.33,10,16.5,1,15,0.0,5.0,-1.5
2026-08-24,12,26,Intervalos nubosos,20,11,5,57,1006.64,11,15.5,1,16,4.0,5.0,0.5
2026-08-25,13,27,Intervalos nubosos con lluvia escasa,21,11,3,50,1007.32,11,16.0,1,12,-1.0,1.0,-4.0
2026-08-26,10,21,Intervalos nubosos con lluvia,16,11,0,71,1005.32,11,13.5,1,,,,
2026-08-27,7,21,Poco nuboso,18,7,3,47,1006.23,7,12.5,1,11,4.0,4.0,-1.5
2026-08-28,11,26,Despejado,16,9,1,63,1012.53,9,12.5,1,10,-1.0,1.0,-2.5
2026-08-29,14,27,Despejado,14,7,0,60,1011.92,7,10.5,1,,,,
2026-08-30,13,29,Poco nuboso,16,10,0,68,1014.43,10,13.0,1,,,,
2026-08-31,14,30,Poco nuboso,13,8,0,68,1014.02,8,10.5,1,,,,
2026-09-01,17,33,Despejado,16,6,0,51,1015.51,6,11.0,1,,,,
2026-09-02,17,34,Despejado,17,5,0,44,1018.02,5,11.0,1,,,,
2026-09-03,20,36,Poco nuboso,17,4,0,42,1019.13,4,10.5,1,,,,
2026-09-04,21,34,Nuboso,21,8,0,45,1018.42,8,14.5,1,20,-1.0,12.0,5.5
2026-09-05,19,33,Intervalos nubosos con lluvia escasa,19,10,0,56,1015.81,10,14.5,1,18,-1.0,8.0,3.5
2026-09-06,19,34,Despejado,23,10,0,43,1014.93,10,16.5,1,,,,
2026-09-07,15,30,Intervalos nubosos con lluvia escasa,18,7,0,47,1014.12,7,12.5,1,,,,
2026-09-08,8,22,Muy nuboso con lluvia,19,11,4,58,1010.33,11,15.0,1,,,,
2026-09-09,7,24,Poco nuboso,9,5,2,80,1009.41,5,7.0,1,,,,
2026-09-10,11,27,Despejado,10,1,1,55,1010.94,1,5.5,1,,,,
2026-09-11,12,28,Despejado,15,9,1,66,1013.24,9,12.0,1,,,,
